circuit,ER,area,delay
zalu4,0.01716,1917,40
zalu4,0.01747,1944,43.8
zalu4,0.01754,1925,40
zalu4,0.01786,1879,38.3
zalu4,0.01797,1886,38.3
zalu4,0.01811,1874,38.3
zalu4,0.01821,1886,38.3
zalu4,0.0185,1865,38
zalu4,0.01852,1868,38.2
zalu4,0.01893,1852,39.2
zalu4,0.02121,1800,38.2
zalu4,0.02124,1789,38.1
zalu4,0.02138,1778,41.4
zalu4,0.02155,1778,41.4
zalu4,0.02158,1769,41.4
zalu4,0.02163,1802,38.2
zalu4,0.02193,1767,41.6
zalu4,0.02245,1762,41.6
zalu4,0.02364,1737,41.1
zalu4,0.02369,1743,41.1
zalu4,0.02399,1725,41.3
zalu4,0.02476,1711,37.2
zalu4,0.02517,1703,37.2
zalu4,0.02539,1698,37.2
zalu4,0.02558,1686,37.2
zalu4,0.02592,1690,37.2
zalu4,0.02626,1668,40
zalu4,0.02631,1646,36.9
zalu4,0.02659,1638,36.9
zalu4,0.02668,1664,40
zalu4,0.02669,1680,40.2
zalu4,0.02693,1652,36.9
zalu4,0.02718,1630,36.7
zalu4,0.02767,1644,36.9
zalu4,0.02786,1636,36.7
zalu4,0.02812,1624,36.9
zalu4,0.0285,1613,36.8
zalu4,0.02891,1602,36.8
zalu4,0.02895,1609,36.8
zalu4,0.0299,1599,37
zalu4,0.03005,1574,35.9
zalu4,0.03043,1580,35.9
zalu4,0.0306,1572,35.9
zalu4,0.03077,1568,35.8
zalu4,0.03123,1586,36.5
zalu4,0.0313,1561,35.1
zalu4,0.03166,1550,35.1
zalu4,0.03175,1556,35.1
zalu4,0.03191,1558,35.1
zalu4,0.03201,1554,35.1
zalu4,0.0327,1542,36.7
zalu4,0.0327,1532,36.3
zalu4,0.03334,1541,36.6
zalu4,0.03391,1524,36.5
zalu4,0.03449,1506,37.9
zalu4,0.03451,1526,36.3
zalu4,0.0346,1499,37.9
zalu4,0.03491,1493,37.7
zalu4,0.03527,1493,37.7
zalu4,0.03538,1508,37.7
zalu4,0.03573,1521,37.7
zalu4,0.03668,1479,37.7
zalu4,0.03756,1460,37.2
zalu4,0.03799,1466,37.2
zalu4,0.04129,1429,36.7
zalu4,0.04254,1429,36.7
zalu4,0.04302,1416,36.4
zalu4,0.04541,1386,39.8
zalu4,0.0456,1374,39.8
zalu4,0.04611,1390,39.8
zalu4,0.04681,1373,35.1
zalu4,0.04739,1378,39.8
zalu4,0.04781,1366,35
zalu4,0.04791,1369,35.1
zalu4,0.04866,1358,34.3
zalu4,0.0488,1364,35
zalu4,0.0488,1355,34.3
zalu4,0.0495,1359,34.3
zalu4,0.04963,1338,34.5
